Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,invalid,"invalid",1,112,350,150,24,4,100,24,28,100,1,16
3,move,"move 23 28",2,117,350,150,24,4,100,23,28,100,1,16
4,move,"move 2 16",3,122,350,150,24,4,100,23,28,100,2,16
5,move,"move 25 5",1,127,350,150,25,5,100,23,28,100,2,16
6,move,"move 23 29",2,132,350,150,25,5,100,23,29,100,2,16
7,move,"move 1 16",3,137,350,150,25,5,100,23,29,100,1,16
8,nothing,"nothing "Player chose to do nothing"",1,137,350,150,25,5,100,23,29,100,1,16
9,dig,"dig 22 29",2,144,350,150,25,5,100,23,29,100,1,16
10,move,"move 1 15",3,149,350,150,25,5,100,23,29,100,1,15
11,dig,"dig 26 5",1,156,350,150,25,5,100,23,29,100,1,15
12,move,"move 24 29",2,161,350,150,25,5,100,24,29,100,1,15
13,nothing,"nothing "Player chose to do nothing"",3,161,350,150,25,5,100,24,29,100,1,15
14,move,"move 24 4",1,166,350,150,24,4,100,24,29,100,1,15
15,dig,"dig 25 30",2,173,350,150,24,4,100,24,29,100,1,15
16,move,"move 0 15",3,178,350,150,24,4,100,24,29,100,0,15
17,move,"move 24 5",1,183,350,150,24,5,100,24,29,100,0,15
18,move,"move 25 29",2,188,350,150,24,5,100,25,29,100,0,15
19,nothing,"nothing "Player chose to do nothing"",3,188,350,150,24,5,100,25,29,100,0,15
20,dig,"dig 24 6",1,195,350,150,24,5,100,25,29,100,0,15
21,dig,"dig 26 28",2,202,350,150,24,5,100,25,29,100,0,15
22,move,"move 1 16",3,207,350,150,24,5,100,25,29,100,1,16
23,move,"move 24 6",1,212,350,150,24,6,100,25,29,100,1,16
24,move,"move 26 28",2,217,350,150,24,6,100,26,28,100,1,16
25,nothing,"nothing "Player chose to do nothing"",3,217,350,150,24,6,100,26,28,100,1,16
26,nothing,"nothing "Player chose to do nothing"",1,217,350,150,24,6,100,26,28,100,1,16
27,move,"move 25 28",2,222,350,150,24,6,100,25,28,100,1,16
28,move,"move 2 15",3,227,350,150,24,6,100,25,28,100,2,15
29,nothing,"nothing "Player chose to do nothing"",1,227,350,150,24,6,100,25,28,100,2,15
30,nothing,"nothing "Player chose to do nothing"",2,227,350,150,24,6,100,25,28,100,2,15
31,dig,"dig 3 14",3,234,350,150,24,6,100,25,28,100,2,15
32,dig,"dig 23 7",1,241,350,150,24,6,100,25,28,100,2,15
33,move,"move 25 29",2,246,350,150,24,6,100,25,29,100,2,15
34,move,"move 3 14",3,251,350,150,24,6,100,25,29,100,3,14
35,move,"move 24 5",1,256,350,150,24,5,100,25,29,100,3,14
36,move,"move 25 30",2,261,350,150,24,5,100,25,30,100,3,14
37,dig,"dig 4 13",3,268,350,150,24,5,100,25,30,100,3,14
38,dig,"dig 23 6",1,275,350,150,24,5,100,25,30,100,3,14
39,nothing,"nothing "Player chose to do nothing"",2,275,350,150,24,5,100,25,30,100,3,14
40,move,"move 4 15",3,280,350,150,24,5,100,25,30,100,4,15
41,nothing,"nothing "Player chose to do nothing"",1,280,350,150,24,5,100,25,30,100,4,15
42,nothing,"nothing "Player chose to do nothing"",2,280,350,150,24,5,100,25,30,100,4,15
43,dig,"dig 4 14",3,287,350,150,24,5,100,25,30,100,4,15
44,move,"move 23 6",1,292,350,150,23,6,100,25,30,100,4,15
45,dig,"dig 24 30",2,299,350,150,23,6,100,25,30,100,4,15
46,move,"move 4 16",3,304,350,150,23,6,100,25,30,100,4,16
47,move,"move 23 5",1,309,350,150,23,5,100,25,30,100,4,16
