Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 23 5",1,121,350,150,23,5,100,24,28,100,1,16
3,move,"move 23 27",2,126,350,150,23,5,100,23,27,100,1,16
4,move,"move 2 16",3,131,350,150,23,5,100,23,27,100,2,16
5,dig,"dig 22 6",1,138,350,150,23,5,100,23,27,100,2,16
6,dig,"dig 22 26",2,145,350,150,23,5,100,23,27,100,2,16
7,dig,"dig 3 16",3,152,350,150,23,5,100,23,27,100,2,16
8,move,"move 22 6",1,157,350,150,22,6,100,23,27,100,2,16
9,move,"move 22 26",2,162,350,150,22,6,100,22,26,100,2,16
10,move,"move 3 16",3,167,350,150,22,6,100,22,26,100,3,16
11,move,"move 21 7",1,172,350,150,21,7,100,22,26,100,3,16
12,dig,"dig 21 25",2,179,350,150,21,7,100,22,26,100,3,16
13,dig,"dig 4 16",3,186,350,150,21,7,100,22,26,100,3,16
