Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 23 5",1,121,350,150,23,5,100,24,28,100,1,16
3,move,"move 23 27",2,126,350,150,23,5,100,23,27,100,1,16
4,move,"move 2 16",3,131,350,150,23,5,100,23,27,100,2,16
5,dig,"dig 22 6",1,138,350,150,23,5,100,23,27,100,2,16
6,dig,"dig 22 26",2,145,350,150,23,5,100,23,27,100,2,16
7,dig,"dig 3 16",3,152,350,150,23,5,100,23,27,100,2,16
8,move,"move 22 6",1,157,350,150,22,6,100,23,27,100,2,16
9,move,"move 22 26",2,162,350,150,22,6,100,22,26,100,2,16
10,move,"move 3 16",3,167,350,150,22,6,100,22,26,100,3,16
11,move,"move 21 7",1,172,350,150,21,7,100,22,26,100,3,16
12,move,"move 21 25",2,177,350,150,21,7,100,21,25,100,3,16
13,move,"move 4 16",3,182,350,150,21,7,100,21,25,100,4,16
14,dig,"dig 20 8",1,189,350,150,21,7,100,21,25,100,4,16
15,move,"move 20 24",2,194,350,150,21,7,100,20,24,100,4,16
16,move,"move 5 16",3,199,350,150,21,7,100,20,24,100,5,16
17,move,"move 20 8",1,204,350,150,20,8,100,20,24,100,5,16
18,dig,"dig 19 23",2,211,350,150,20,8,100,20,24,100,5,16
19,move,"move 6 16",3,216,350,150,20,8,100,20,24,100,6,16
20,dig,"dig 19 9",1,223,350,150,20,8,100,20,24,100,6,16
21,move,"move 19 23",2,228,350,150,20,8,100,19,23,100,6,16
22,dig,"dig 7 16",3,235,350,150,20,8,100,19,23,100,6,16
23,move,"move 19 9",1,240,350,150,19,9,100,19,23,100,6,16
24,move,"move 19 22",2,245,350,150,19,9,100,19,22,100,6,16
25,move,"move 7 16",3,250,350,150,19,9,100,19,22,100,7,16
26,dig,"dig 19 10",1,257,350,150,19,9,100,19,22,100,7,16
27,move,"move 19 21",2,262,350,150,19,9,100,19,21,100,7,16
28,dig,"dig 8 16",3,269,350,150,19,9,100,19,21,100,7,16
29,move,"move 19 10",1,274,350,150,19,10,100,19,21,100,7,16
30,move,"move 19 20",2,279,350,150,19,10,100,19,20,100,7,16
31,move,"move 8 16",3,284,350,150,19,10,100,19,20,100,8,16
32,move,"move 19 11",1,289,350,150,19,11,100,19,20,100,8,16
33,dig,"dig 19 19",2,296,350,150,19,11,100,19,20,100,8,16
34,dig,"dig 9 16",3,303,350,150,19,11,100,19,20,100,8,16
35,dig,"dig 19 12",1,310,350,150,19,11,100,19,20,100,8,16
36,move,"move 19 19",2,315,350,150,19,11,100,19,19,100,8,16
37,move,"move 9 16",3,320,350,150,19,11,100,19,19,100,9,16
38,move,"move 19 12",1,325,350,150,19,12,100,19,19,100,9,16
39,banana,"banana 23 16",2,379,350,150,19,12,100,19,19,100,9,16
40,snowball,"snowball 13 18",3,396,350,150,19,12,100,19,19,100,9,16
41,dig,"dig 19 13",1,403,350,150,19,12,100,19,19,100,9,16
42,banana,"banana 23 16",2,403,350,150,19,12,100,19,19,100,9,16
43,move,"move 10 16",3,408,350,150,19,12,100,19,19,100,10,16
44,move,"move 19 13",1,413,350,150,19,13,100,19,19,100,10,16
45,banana,"banana 22 16",2,461,330,150,19,13,100,19,19,80,10,16
46,snowball,"snowball 13 18",3,478,330,150,19,13,100,19,19,80,10,16
47,dig,"dig 19 14",1,478,330,150,19,13,100,19,19,80,10,16
48,banana,"banana 22 16",2,511,310,150,19,13,100,19,19,60,10,16
49,move,"move 11 16",3,516,310,150,19,13,100,19,19,60,11,16
50,shoot,"shoot SE",3,532,310,150,19,13,100,19,19,60,11,16
51,shoot,"shoot SE",3,541,290,150,19,13,100,19,19,40,11,16
52,shoot,"shoot SE",3,557,290,150,19,13,100,19,19,40,11,16
53,shoot,"shoot SE",3,571,282,150,19,13,100,19,19,32,11,16
54,shoot,"shoot SE",3,584,274,150,19,13,100,19,19,24,11,16
55,dig,"dig 19 14",1,581,266,150,19,13,100,19,19,16,11,16
56,move,"move 19 18",2,584,258,150,19,13,100,19,18,8,11,16
57,snowball,"snowball 13 18",3,598,250,150,19,13,100,19,18,0,11,16
58,dig,"dig 19 14",1,602,242,150,19,13,92,19,18,0,11,16
59,shoot,"shoot NE",2,618,242,150,19,13,92,19,18,0,11,16
60,move,"move 19 14",1,623,242,150,19,14,92,19,18,0,11,16
61,shoot,"shoot NE",2,637,234,142,19,14,92,19,18,0,11,16
62,shoot,"shoot SE",1,653,234,142,19,14,92,19,18,0,11,16
63,shoot,"shoot NE",2,669,234,142,19,14,92,19,18,0,11,16
64,shoot,"shoot SE",1,722,226,134,19,14,92,19,18,0,11,16
65,move,"move 19 17",2,727,226,134,19,14,92,19,17,0,11,16
66,dig,"dig 19 15",1,734,226,134,19,14,92,19,17,0,11,16
67,move,"move 19 16",2,742,236,134,19,14,102,19,16,0,11,16
