Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 16",3,131,350,150,9,27,100,9,5,100,30,16
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,16
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,16
7,dig,"dig 29 16",3,152,350,150,9,27,100,9,5,100,30,16
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,16
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,16
10,move,"move 29 16",3,167,350,150,10,26,100,10,6,100,29,16
11,move,"move 11 25",1,172,350,150,11,25,100,10,6,100,29,16
12,move,"move 11 7",2,177,350,150,11,25,100,11,7,100,29,16
13,move,"move 28 16",3,182,350,150,11,25,100,11,7,100,28,16
14,move,"move 12 24",1,187,350,150,12,24,100,11,7,100,28,16
15,dig,"dig 12 8",2,194,350,150,12,24,100,11,7,100,28,16
16,move,"move 27 16",3,199,350,150,12,24,100,11,7,100,27,16
17,dig,"dig 13 23",1,206,350,150,12,24,100,11,7,100,27,16
18,move,"move 12 8",2,211,350,150,12,24,100,12,8,100,27,16
19,move,"move 26 16",3,216,350,150,12,24,100,12,8,100,26,16
20,move,"move 13 23",1,221,350,150,13,23,100,12,8,100,26,16
21,dig,"dig 13 9",2,228,350,150,13,23,100,12,8,100,26,16
22,dig,"dig 25 16",3,235,350,150,13,23,100,12,8,100,26,16
23,move,"move 13 22",1,240,350,150,13,22,100,12,8,100,26,16
24,move,"move 13 9",2,245,350,150,13,22,100,13,9,100,26,16
25,move,"move 25 16",3,250,350,150,13,22,100,13,9,100,25,16
26,move,"move 13 21",1,255,350,150,13,21,100,13,9,100,25,16
27,dig,"dig 13 10",2,262,350,150,13,21,100,13,9,100,25,16
28,dig,"dig 24 16",3,269,350,150,13,21,100,13,9,100,25,16
29,move,"move 13 20",1,274,350,150,13,20,100,13,9,100,25,16
30,move,"move 13 10",2,279,350,150,13,20,100,13,10,100,25,16
31,move,"move 24 16",3,284,350,150,13,20,100,13,10,100,24,16
32,dig,"dig 13 19",1,291,350,150,13,20,100,13,10,100,24,16
33,move,"move 13 11",2,296,350,150,13,20,100,13,11,100,24,16
34,dig,"dig 23 16",3,303,350,150,13,20,100,13,11,100,24,16
35,move,"move 13 19",1,308,350,150,13,19,100,13,11,100,24,16
36,dig,"dig 13 12",2,315,350,150,13,19,100,13,11,100,24,16
37,move,"move 23 16",3,320,350,150,13,19,100,13,11,100,23,16
38,move,"move 13 18",1,325,350,150,13,18,100,13,11,100,23,16
39,move,"move 13 12",2,324,330,150,13,18,100,13,12,80,23,16
40,snowball,"snowball 19 19",3,341,330,150,13,18,100,13,12,80,23,16
41,move,"move 13 17",1,341,330,150,13,18,100,13,12,80,23,16
42,dig,"dig 13 13",2,348,330,150,13,18,100,13,12,80,23,16
43,move,"move 22 16",3,353,330,150,13,18,100,13,12,80,22,16
44,move,"move 13 17",1,353,330,150,13,18,100,13,12,80,22,16
45,banana,"banana 10 16",2,400,310,150,13,18,100,13,12,60,22,16
46,snowball,"snowball 19 13",3,417,310,150,13,18,100,13,12,60,22,16
47,move,"move 13 17",1,417,310,150,13,18,100,13,12,60,22,16
48,banana,"banana 10 16",2,450,290,150,13,18,100,13,12,40,22,16
49,move,"move 21 16",3,455,290,150,13,18,100,13,12,40,21,16
50,shoot,"shoot NW",1,453,282,142,13,18,100,13,12,40,21,16
51,banana,"banana 11 16",2,490,274,134,13,18,100,13,12,40,21,16
52,snowball,"snowball 19 13",3,504,266,126,13,18,100,13,12,40,21,16
53,shoot,"shoot NW",1,518,258,118,13,18,100,13,12,40,21,16
54,shoot,"shoot NW",1,531,250,110,13,18,100,13,12,40,21,16
